_RAJ2000,_DEJ2000,ADS,Period,Axis,Incl,Ecc
166.3358,-27.2897,,7.4,0.14,94.7,0.285
168.1161,-18.4937,8086,233,0.383,115.5,0.64
168.4049,55.4227,8092,116,0.332,118.6,0.6
168.4049,55.4227,8092,103.8,0.32,122.5,0.57
169.5475,31.5537,8119,59.84,2.53,122.65,0.414
169.5475,31.5537,8119,1.832,0.055,86.3,0.56
169.7581,14.2699,8128,1148,4.59,80.07,0.45
170.2422,-54.4979,,39.18,0.277,59.6,0.86
170.7632,4.1347,8145,57,0.129,40,0.68
170.7632,4.1347,8145,97.54,0.16,57.5,0.31
170.9737,10.5344,8148,192,1.92,130.5,0.55
171.2151,-61.6495,,421.5,5.76,48.5,0.68
171.8073,-15.6503,8166,48.5,0.45,159,0.1
172.6993,41.2819,8189,86.44,0.41,56.7,0.37
173.0909,61.0815,8197,72.87,0.813,47.7,0.398
174.2175,-12.3534,8239,297.5,0.875,48.6,0.542
177.1646,14.2775,8311,122,0.68,148.3,0.67
178.0097,48.0938,8325,107.18,0.64,99.2,0.63
178.2995,-15.6731,8332,174.9,0.29,136.4,0.36
178.4321,73.7603,8337,77.15,0.388,33.7,0.477
178.5209,71.927,8344,78.6,0.291,109,0.11
180.4546,-34.6569,,437.095,1.171,121.56,0.503
180.9079,-39.0069,,109.2,0.67,150,0.58
181.5085,68.6933,8419,115.46,0.305,135.8,0.6
182.7137,39.8936,8446,326.773,0.774,155.46,0.728
183.8493,-31.0894,,63.3,0.692,52,0.18
184.0024,5.6441,8486,875,2.93,15,0.88
183.9939,48.1108,8485,170,0.28,129,0.3
186.1051,25.5791,8539,678,1.3,161,0.946
186.7999,27.0298,8553,2200,4.483,129.3,0.48
186.8634,-28.7203,8555,46.5,0.156,29,0.91
187.2909,31.397,8569,600,0.61,37.3,0.84
187.5213,-13.3862,8573,161.53,1.385,18.76,0.728
188.3686,9.0149,,16.2,0.76,103,0.28
189.9233,-37.283,,52.66,0.338,30.1,0.36
190.3875,-48.9656,,84.5,0.93,112.9,0.79
190.4328,-1.4487,8630,171.37,3.746,146.05,0.881
190.5327,26.3515,8635,62.13,0.41,30.3,0.25
