DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
2MASS J00413538-5621127 A  ,x,J00413538-5621127  ,0,41,35.4,-56,21,13,15,1,M8  ,     ,     ,     ,     ,14.69,12.37,11.75,11.32,10.86,     ,     ,     ,2600,    ,30,      ,          ,1995,      ,,5.011278876,0.460471841,14.13064223
WISEP J004701.06+680352.1  ,,J00470038+6803543  ,0,47,1.1,68,3,52,15,1,L7.5,     ,     ,     ,     ,     ,15.6,13.97,13.05,      ,11.88,11.27,10.33,1350,    ,    ,      ,          ,2012,      ,,4.69591518,0.061472897,14.24586262
2MASS J03423180+1216225 B  ,x,J03423180+1216225  ,3,42,31.8,12,16,23,15,    ,L0  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,14,166,2012, UNCON,,4.96227342,0.34699596,14.15116378
DENIS-P J104842.81+011158.2,,J10484281+0111580  ,10,48,42.8,1,11,58,15,1,L1  ,     ,19.77,     ,17.25,16.2,12.92,12.14,11.62,11.5,     ,     ,     ,2100,1.05,    ,      ,          ,2002,      ,,4.585543167,0.220259433,14.28020587
SDSS J105118.96+561308.0   ,,J10511900+5613086  ,10,51,19,56,13,8,15,1,L2  ,     ,     ,     ,17.65,     ,13.24,12.42,11.91,      ,11.52,11.26,10.76,    ,    ,    ,      ,          ,2002,      ,,4.42120364,0.251054137,14.33143155
WISE J105257.95-194250.2   ,,                   ,10,52,58,-19,42,50,15,1,T7.5,     ,     ,     ,     ,     ,17.07,16.79,15.34,      ,16.87,14.2,12.34,    ,    ,    ,      ,          ,2013,      ,,4.252609994,0.788174675,14.36294151
2MASS J11220826-3512363    ,,J11220826-3512363  ,11,22,8.3,-35,12,36,15,1,T2  ,     ,     ,     ,     ,     ,15.02,14.36,14.38,      ,13.93,12.77,11.72,    ,    ,    ,      ,          ,2004,      ,,6.203645265,0.325119272,13.65317117
WISEP J122152.28-313600.8  ,,                   ,12,21,52.3,-31,36,1,15,  ? ,T6.5,     ,     ,     ,     ,     ,16.38,16.06,15.63,      ,15.86,13.85,12.35,    ,    ,    ,      ,          ,2013,      ,,6.151363273,0.974280229,13.64593375
WISEP J162918.56+033535.6  ,,J16291840+0335371  ,16,29,18.4,3,35,37,15,  ? ,T2  ,     ,     ,     ,     ,     ,15.29,14.49,14.18,      ,13.4,12.5,11.32,    ,    ,    ,      ,          ,2013,      ,,5.714853991,0.879600158,13.84076398
PSO J247.3273+03.5932      ,,                   ,16,29,18.6,3,35,36,15,3,T2  ,     ,     ,     ,     ,     ,14.53,14.28,14.18,      ,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,5.714655028,0.879569535,13.84084807
WISE J165842.56+510335.0   ,,                   ,16,58,42.6,51,3,35,15,1,L6  ,     ,     ,     ,     ,     ,15.06,14.18,13.66,      ,13.18,12.8,12.26,    ,    ,    ,      ,          ,2013,      ,,3.96343757,0.05188424,14.46680582
2MASS J17072343-0558249 B  ,x,J17072343-0558249  ,17,7,23.4,-5,58,25,15,1,L3  ,     ,     ,     ,     ,     ,13.96,12.72,12.2,      ,     ,     ,     ,    ,    ,81,15.2,210,2003, UNCON,,6.851870922,1.772014306,13.22542363
2MASS J19010601+4718136    ,,J19010601+4718136  ,19,1,6,47,18,14,15,2,T5  ,     ,     ,     ,     ,     ,15.86,15.47,15.64,      ,15.3,13.58,12.46,    ,    ,    ,      ,          ,2000,      ,,7.41463697,0.583544585,13.02622871
WISEP J195500.42-254013.9  ,,                   ,19,55,0.4,-25,40,14,15,  ? ,T8  ,     ,     ,     ,     ,     ,17.58,18,     ,      ,18.13,15.02,12.34,    ,    ,    ,      ,          ,2013,      ,,4.1332542,0.728804234,14.40086991
2MASS J21481326-6323265    ,,J21481326-6323265  ,21,48,13.3,-63,23,27,15,  ? ,L8  ,     ,     ,     ,     ,     ,15.33,14.34,13.77,      ,13.48,13.31,12.28,    ,    ,    ,      ,          ,     ,      ,,4.598202009,0.463014596,14.2703243
LSPM 1735+2634 A           ,x,J17351296+2634475  ,17,35,13,26,34,48,14.99,0.31,M7.5,     ,     ,18.1,     ,14.2,11.76,11.1,10.16,10.69,     ,     ,     ,    ,    ,86,      ,          ,2009, UNCON,,5.360204841,0.801087981,13.97592795
LSPM 1735+2634 B           ,x,J17351296+2634475  ,17,35,13,26,34,48,14.99,0.31,L0  ,     ,     ,     ,     ,     ,12.33,11.66,     ,11.18,     ,     ,     ,    ,    ,78,3.2,20,     ,      ,,5.360204841,0.801087981,13.97592795
WISE J001505.87-461517.6   ,,                   ,0,15,5.9,-46,15,18,14.9,    ,T8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,17.02,14.25,     ,675,    ,    ,      ,          ,2012,"		",,6.570269539,0.430638217,13.36623017
WISEPA J234351.20-741847.0 ,,                   ,23,43,51.2,-74,18,47,14.9,    ,T6  ,     ,     ,     ,     ,     ,16.13,16.14,15.91,      ,15.71,13.69,12.63,975,    ,    ,      ,          ,2011,      ,,4.844998628,0.381309662,14.0851195
SDSS J133148.92-011651.4   ,,J13314894-0116500  ,13,31,48.9,-1,16,50,14.86,2.78,L6  ,     ,22.78,     ,20.69,     ,15.46,14.48,14.07,      ,13.41,13.12,12.26,1900,1,    ,      ,          ,2002,      ,,5.564186753,0.389085841,13.77345411
2MASS J09153413+0422045 A  ,x,J09153413+0422045  ,9,15,34.1,4,22,5,14.8,3,L7  ,     ,     ,     ,     ,     ,14.55,13.53,13.01,      ,12.08,11.7,10.95,    ,    ,75,      ,          ,2007,      ,,6.482951802,0.624237259,13.28990834
2MASS J09153413+0422045 B  ,x,J09153413+0422045  ,9,15,34.1,4,22,5,14.8,3,L7  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,75,10.8,132,     ,      ,,6.482951802,0.624237259,13.28990834
2MASS J17562963-4518224    ,,J17562963-4518224  ,17,56,29.6,-45,18,22,14.8,3,M9  ,     ,     ,17.98,     ,15.31,12.39,11.73,11.26,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008, UNCON,,4.036318392,0.317665147,14.23542141
SDSSp J134646.45-003150.4  ,,J13464634-0031501  ,13,46,46.3,0,31,50,14.64,0.49,T7  ,     ,     ,     ,     ,21.03,15.64,15.97,15.77,15.96,15.41,13.56,11.99,990,0.87,46,      ,          ,2000,      ,,4.556564101,0.620121158,13.89902059
WISEP J004024.88+090054.8  ,,J00402492+0900547  ,0,40,24.9,9,0,55,14.6,    ,T7  ,     ,     ,     ,     ,     ,16.5,16.56,15.74,      ,16.06,13.92,12.06,825,    ,    ,      ,          ,2013,      ,,4.968642913,0,13.72853188
WISEPC J101808.05-244557.7 ,,                   ,10,18,8.1,-24,45,58,14.6,    ,T8  ,     ,     ,     ,     ,     ,17.82,18,17.81,      ,17,14.09,12.55,675,    ,    ,      ,          ,2011,      ,,6.157074373,1.22471824,13.18144531
SDSS J104335.08+121314.1   ,,J10433508+1213149  ,10,43,35.1,12,13,15,14.6,2.26,L7  ,     ,     ,     ,     ,     ,16,14.97,14.26,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,4.770599222,0.270894255,13.79594141
WDS J11279+7411 A          ,x,J11275346+7411076  ,11,27,53.5,74,11,8,14.6,    ,L2  ,     ,     ,     ,     ,16.5,13.02,12.37,11.95,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,5.704449644,0.274004365,13.4366728
WDS J11279+7411 B          ,x,J11275346+7411076  ,11,27,53.5,74,11,8,14.6,    ,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003, UNCON,,5.704449644,0.274004365,13.4366728
WISE J233226.49-432510.6   ,,                   ,23,32,26.5,-43,25,11,14.6,    ,T9  ,     ,     ,     ,     ,     ,     ,19.4,     ,      ,17.88,14.99,     ,525,    ,    ,      ,          ,2012,      ,,5.410806434,0.59257968,13.54739912
2MASS J16150413+1340079    ,,J16150413+1340079  ,16,15,4.1,13,40,8,14.58,1.36,T6  ,     ,     ,     ,     ,     ,16.35,16.49,15.86,      ,16.08,14.11,12.63,975,    ,    ,      ,          ,2007,      ,,6.346760933,1.119105193,13.0783267
2MASS J03205965+1854233    ,,J03205965+1854233  ,3,20,59.7,18,54,23,14.51,0.13,M8  ,     ,18,     ,15.3,     ,11.76,11.07,10.64,      ,10.35,10.15,9.87,2586,1.15,88,      ,          ,     , UNCON,,5.907186425,1.418189987,13.17702492
2MASS J03140344+1603056    ,,J03140344+1603056  ,3,14,3.4,16,3,6,14.5,1.8,L0  ,     ,     ,     ,     ,     ,12.53,11.82,11.24,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,6.466105562,0.084645959,12.97814755
WISEPA J074457.15+562821.8 ,,                   ,7,44,57.2,56,28,22,14.5,    ,T8  ,     ,     ,     ,     ,     ,17.68,17.59,17.57,      ,17.14,14.49,12.6,675,    ,    ,      ,          ,2011,      ,,4.628905702,0.568358154,13.72953754
WISEP J103907.73-160002.9  ,,                   ,10,39,7.7,-16,0,3,14.5,    ,T7.5,     ,     ,     ,     ,     ,17.26,17.19,17.13,      ,16.65,14.16,12.73,825,    ,    ,      ,          ,2013,      ,,5.011078974,0,13.60658251
WISEA J120604.25+840110.5  ,,                   ,12,6,4.3,84,1,11,14.5,0.4,Y0  ,     ,     ,     ,     ,     ,20.47,21.06,     ,      ,18.73,15.06,12.54,425,    ,    ,      ,          ,2015,      ,,6.914751111,0.030171485,12.74501105
2MASSI J2356547-155310     ,,J23565477-1553111  ,23,56,54.8,-15,53,11,14.5,0.72,T5.5,     ,     ,     ,22.92,20.73,15.82,15.63,15.77,15.8,15.53,13.64,12.01,    ,    ,    ,      ,          ,2002,      ,,3.836246919,0.903316242,13.95411156
VHS J12580489-4412324      ,,                   ,12,58,4.9,-44,12,32,14.45,1.8,T6  ,     ,     ,     ,     ,     ,16,     ,16.16,      ,15.74,14,     ,    ,    ,    ,      ,          ,2012,      ,,3.851347093,0.201840548,13.9258352
WISEPC J022322.39-293258.1 ,,                   ,2,23,22.4,-29,32,58,14.4,    ,T7  ,     ,     ,     ,     ,     ,17.1,17.3,16.94,      ,16.93,13.99,12.84,825,    ,    ,      ,          ,2011,      ,,5.835606388,0.820140993,13.13899033
WISEPA J050003.05-122343.2 ,,                   ,5,0,3.1,-12,23,43,14.4,    ,T8  ,     ,     ,     ,     ,     ,17.78,18.13,     ,      ,17.76,13.97,11.56,675,    ,    ,      ,          ,2011,      ,,7.160975906,0.721072358,12.47238865
LP 349-25 A                ,x,J00275592+2219328  ,0,27,55.9,22,19,33,14.37,0.19,M8  ,17.56,     ,16,     ,12.4,11.15,10.61,     ,10.15,     ,     ,     ,2780,1.27,68,      ,          ,1995,      ,,5.599452447,0.465278618,13.22598004
LP 349-25 B                ,x,J00275592+2219328  ,0,27,55.9,22,19,33,14.37,0.19,M8  ,     ,     ,     ,     ,     ,11.51,10.93,     ,10.46,     ,     ,     ,2640,1.21,59,1.86,7.31,2010,      ,,5.599452447,0.465278618,13.22598004
2MASS J14392837+1929150    ,,J14392836+1929149  ,14,39,28.4,19,29,15,14.37,0.1,L1  ,21.04,     ,18.52,     ,16.12,12.76,12.04,11.55,      ,     ,10.94,     ,2200,0.98,    ,      ,          ,1999,      ,,4.906305157,0.624160851,13.49205295
WISEP J033515.01+431045.1  ,,                   ,3,35,14.3,43,10,53,14.29,1.84,T9  ,     ,     ,     ,     ,     ,19.47,19.94,18.56,      ,18.65,14.52,12.42,465,0.9,22,      ,          ,2013,      ,,5.160470332,0.225311001,13.32377127
DENIS-P J205754.10-025229.9,,J20575409-0252302  ,20,57,54.1,-2,52,30,14.27,0.75,L1.5,     ,     ,     ,     ,16.6,13.12,12.27,11.72,11.6,11.28,10.99,10.34,2100,0.56,    ,      ,          ,2003,      ,,3.721500533,0.859176096,13.74936908
LHS 2397aB                 ,x,J11202634-1440017  ,11,20,26.4,-14,40,2,14.25,0.43,L7.5,     ,     ,     ,     ,     ,15.23,14.4,     ,13.6,     ,     ,     ,1350,1,71,3.086,14.26,2003,      ,,5.906388778,1.0414557,12.92642416
WISE J065222.24+412736.1   ,x,                   ,6,52,22.2,41,27,36,14.2,1.4,T0  ,     ,     ,     ,     ,     ,15.36,14.51,     ,13.95,13.13,12.44,11.8,    ,    ,    ,      ,          ,2013,      ,,4.101124078,0.485400022,13.58621243
WISE J065222.24+412736.1 B ,x,                   ,6,52,22.2,41,27,36,14.2,1.4,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,4.101124078,0.485400022,13.58621243
DENIS J1013-7842           ,,J10132597-7842551  ,10,13,26,-78,42,55,14.2,1.3,,     ,     ,     ,     ,     ,13.84,12.74,12.03,      ,     ,     ,     ,1950,    ,68,      ,          ,2015,      ,,6.260787993,1.160368467,12.69236301
SDSS J000013.54+255418.6   ,,J00001354+2554180  ,0,0,13.5,25,54,19,14.12,0.38,T4.5,     ,     ,     ,     ,     ,15.06,14.73,14.84,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,"		",,6.853254948,1.645320944,12.23520395
WISE J040137.21+284951.7   ,,                   ,4,1,37.2,28,49,52,14.1,2.4,L3  ,     ,     ,     ,     ,     ,13.41,12.43,11.82,      ,11.28,11.01,11.01,1970,    ,65,      ,          ,2013,      ,,6.804958989,1.47750143,12.26048623
WISEPA J081958.05-033529.0 ,,                   ,8,19,58.1,-3,35,29,14.1,    ,T4  ,     ,     ,     ,     ,     ,14.99,14.64,14.59,      ,14.36,13.07,11.94,    ,    ,    ,      ,          ,2011,      ,,5.891309776,0.906759301,12.77811632
2MASS J15065441+1321060    ,,J15065441+1321060  ,15,6,54.4,13,21,6,14.1,1.3,L3  ,     ,     ,     ,     ,17.4,13.37,12.38,11.74,      ,     ,     ,     ,2200,0.84,    ,      ,          ,2000,      ,,6.650846624,0.611126953,12.41784051
WISEPC J220922.10-273439.5 ,,                   ,22,9,22.1,-27,34,40,14.1,    ,T7  ,     ,     ,     ,     ,     ,16.81,16.41,16.9,      ,16.47,13.79,12.28,825,    ,    ,      ,          ,2011,      ,,6.473209343,0.967427618,12.48886082
WISEP J223720.39+722833.8  ,,                   ,22,37,20.4,72,28,34,14.1,    ,T6  ,     ,     ,     ,     ,     ,15.76,15.94,15.99,      ,15.67,13.61,12.62,975,    ,    ,      ,          ,2013,      ,,4.93884732,0.6064142,13.19280292
Gamma Cephei b             ,x,J23392083+7737563  ,23,39,21,77,37,55,14.1,0.08,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,18,2.14,2.479,1988,      ,,4.796844534,0.78121574,13.23593535
WISEPC J234446.25+103415.8 ,,                   ,23,44,46.3,10,34,16,14.1,    ,T9  ,     ,     ,     ,     ,     ,18.78,19.07,     ,18.2,18.03,14.9,11.76,525,    ,    ,      ,          ,2011,      ,,4.495666965,0.67188193,13.34719271
2MASS J15065441+1321060 B  ,x,J15065441+1321060 B,15,6,54.4,13,21,6,14.1,0.5,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,14,2010, UNCON,P,6.650846624,0.611126953,12.41784051
LHS 3343 B                 ,x,J17580545+4633099  ,17,58,5.5,46,33,10,14.09,0.37,T6.5,     ,     ,     ,24.2,     ,16.15,16.25,15.47,      ,15.66,13.79,12.54,980,1.01,26,2685,          ,2004,      ,,3.721047438,0.539526201,13.57905805
2MASS J10073369-4555147    ,,J10073369-4555147  ,10,7,33.7,-45,55,15,14.08,1.03,T5  ,     ,     ,     ,     ,     ,15.65,15.69,15.56,      ,15.63,13.81,12.66,    ,    ,    ,      ,          ,2000,      ,,6.443810082,1.576790296,12.41923685
2MASSW J0045214+163445     ,,J00452143+1634446  ,0,45,21.4,16,34,45,14,1,L2  ,22,     ,     ,     ,     ,13.06,12.06,11.37,      ,     ,     ,     ,2100,0.37,    ,      ,          ,2000,      ,,4.430312194,0.662114594,13.26400913
2MASS J06020638+4043588    ,,J06020638+4043588  ,6,2,6.4,40,43,59,14,2,T4.5,     ,     ,     ,     ,     ,15.54,15.59,15.17,      ,15.24,13.54,12.68,    ,    ,    ,      ,          ,2007,      ,,6.767371761,1.284825674,12.188187
WISEP J072312.44+340313.5  ,,                   ,7,23,12.4,34,3,14,14,    ,T9  ,     ,     ,     ,     ,     ,18.21,18.47,17.06,      ,18.27,14.73,12.21,525,    ,    ,      ,          ,2013,      ,,5.738059381,0.075115312,12.76984856
WISE J102940.51+093514.1   ,,                   ,10,29,40.5,9,35,14,14,1,T8  ,     ,     ,     ,     ,     ,17.32,17.63,     ,      ,16.84,14.29,11.58,    ,    ,    ,      ,          ,2013,      ,,5.313337143,0.817800804,12.92670299
SDSS J152039.82+354619.8   ,,J15203974+3546210  ,15,20,39.8,35,46,20,14,2,T0  ,     ,     ,     ,     ,     ,15.54,14.58,14.02,      ,13.44,12.89,11.86,    ,    ,    ,      ,          ,2006,      ,,5.761865819,1.17226485,12.70538065
2MASSI J1807159+501531     ,,J18071593+5015316  ,18,7,15.9,50,15,32,14,1,L1.5,     ,     ,     ,     ,     ,12.93,12.13,11.6,      ,11.25,10.97,10.48,2100,1.03,    ,      ,          ,2003,      ,,6.598053866,0.432459298,12.34012415
WISEP J180952.53-044812.5  ,,                   ,18,9,52.5,-4,48,13,14,  ? ,T0.5,     ,     ,     ,     ,     ,15.14,14.28,13.96,      ,13.29,12.73,12.38,    ,    ,    ,      ,          ,2013,      ,,6.329840277,1.345449085,12.41462399
2MASS J23254530+4251488    ,,J23254530+4251488  ,23,25,45.3,42,51,49,14,1,L8  ,     ,     ,     ,     ,     ,15.49,14.45,13.76,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,5.458219156,1.235068901,12.83286595
WISE J212100.87-623921.6   ,,                   ,21,21,0.9,-62,39,22,14,2,T2  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015,      ,,5.775756851,0.992456541,12.71438802
WISEPC J032337.53-602554.9 ,,                   ,3,23,37.5,-60,25,55,13.9,    ,T8.5,     ,     ,     ,     ,     ,18.15,18.4,     ,      ,17.5,14.47,12.81,675,    ,    ,      ,          ,2011,      ,,5.640682507,0.617755205,12.68901412
WISEA J064750.85-154616.4  ,,                   ,6,47,50.8,-15,46,17,13.9,3.3,L9.5,     ,     ,     ,     ,     ,15.31,14.29,13.74,      ,13.04,12.52,11.59,    ,    ,    ,      ,          ,2014,      ,,4.217772116,0.858115435,13.21680885
2MASS J13004255+1912354    ,,J13004255+1912354  ,13,0,42.6,19,12,35,13.9,0.9,L1  ,     ,     ,     ,     ,     ,12.72,12.08,11.62,      ,     ,     ,     ,2200,0.58,    ,      ,          ,2000,      ,,6.903200658,0.361781416,12.05922613
2MASS J22541892+3123498    ,,J22541892+3123498  ,22,54,18.9,31,23,50,13.89,0.58,T4  ,     ,     ,     ,     ,     ,15.26,15.02,14.9,      ,14.63,13.25,12,    ,    ,    ,      ,          ,2002,      ,,3.906907586,0.393404908,13.32341569
2MASS J15551573-0956055    ,,J15551573-0956055  ,15,55,15.7,-9,56,6,13.8,1,L1  ,     ,     ,     ,     ,     ,12.56,11.98,11.44,      ,     ,     ,     ,2200,0.97,    ,      ,          ,2002,      ,,3.732253546,0.930555323,13.25308833
WISEPC J222623.05+044003.9 ,,                   ,22,26,23.1,4,40,4,13.8,    ,T8  ,     ,     ,     ,     ,     ,17.02,17.45,     ,17.24,17.41,14.63,12.24,675,    ,    ,      ,          ,2011,      ,,5.398193959,0.951847242,12.6646551
2MASS J03185403-3421292    ,,J03185403-3421292  ,3,18,54,-34,21,29,13.72,1.45,L7  ,     ,     ,     ,     ,     ,15.57,14.35,13.51,      ,12.62,12.12,11.16,    ,    ,    ,      ,          ,2004,      ,,5.833362586,0.536010723,12.40656977
WISEPA J051317.28+060814.7 ,,                   ,5,13,17.3,6,8,15,13.7,    ,T6.5,     ,     ,     ,     ,     ,16.21,16.13,16.05,      ,15.86,13.83,12.37,975,    ,    ,      ,          ,2011,      ,,6.147205518,0.214665147,12.24155967
SDSS J092308.70+234013.7   ,,J09230861+2340152  ,9,23,8.6,23,40,15,13.7,2.6,L1  ,     ,     ,     ,18.23,     ,13.85,13.16,12.81,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,5.533669332,0.975735206,12.49465664
2MASSW J1311391+803222 A   ,x,J13113921+8032219  ,13,11,39.2,80,32,22,13.7,    ,L2  ,     ,     ,18.6,     ,15.1,12.76,12.12,11.68,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,6.177417919,0.868179471,12.19736743
2MASSW J1311391+803222 B   ,x,J13113921+8032219  ,13,11,39.2,80,32,22,13.7,    ,M8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003, UNCON,,6.177417919,0.868179471,12.19736743
WISEPC J225540.74-311841.8 ,,                   ,22,55,40.7,-31,18,42,13.7,    ,T8  ,     ,     ,     ,     ,     ,17.34,17.7,16.4,      ,16.62,14.08,12.2,675,    ,    ,      ,          ,2011,      ,,3.78301378,0.297729641,13.16397219
SDSS J042348.57-041403.5 A ,x,J04234858-0414035  ,4,23,48.6,-4,14,4,13.64,0.26,L6.5,     ,22.64,     ,20.14,     ,15.02,13.91,13.26,      ,12.18,11.56,10.54,    ,    ,63,      ,          ,2002,      ,,5.547849071,0.339320985,12.45615639
SDSS J042348.57-041403.5 B ,x,J04234858-0414035  ,4,23,48.6,-4,14,4,13.64,0.26,T2  ,     ,     ,     ,     ,     ,15.46,14.64,14.39,      ,     ,     ,     ,    ,    ,52,2.5,19,     ,      ,,5.547849071,0.339320985,12.45615639
WISEPA J195246.66+724000.8 ,,                   ,19,52,46.7,72,40,1,13.6,    ,T4  ,     ,     ,     ,     ,     ,15.09,14.73,14.65,      ,14.2,13,11.92,    ,    ,    ,      ,          ,2011,      ,,3.872326395,0.682795622,13.01917349
2MASS J15344984-2952274 B  ,x,J15344984-2952274  ,15,34,49.8,-29,52,27,13.59,0.22,T6  ,     ,     ,     ,     ,     ,15.44,15.81,15.03,15.7,     ,     ,     ,1097,0.8,28,3.18,23.1,2002,      ,,4.808444916,1.11011698,12.66232987
2MASS J15344984-2952274 A  ,x,J15344984-2952274  ,15,34,50,-29,52,31,13.59,0.22,T5.5,     ,     ,     ,     ,     ,15.28,15.46,14.84,15.51,13.94,12.59,11.59,1130,0.8,30,      ,          ,2002,      ,,4.808265469,1.110075551,12.66240165
Upsilon And c              ,x,J01364784+4124200  ,1,36,47.8,41,24,20,13.49,0.03,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,15,0.861,0.651,1999,      ,,4.764333061,0.500751583,12.6107287
2MASS J12255432-2739466 B  ,x,J12255432-2739466  ,12,25,54.3,-27,39,47,13.32,0.44,T8  ,     ,     ,     ,     ,     ,16.92,16.92,     ,16.73,     ,     ,     ,675,    ,35,3.8,23,1999,      ,,5.239610775,0.900329795,12.21303751
2MASS J12255432-2739466 A  ,x,J12255432-2739466  ,12,25,54.7,-27,39,54,13.32,0.44,T6  ,     ,     ,     ,     ,20.32,15.26,15.1,15.07,15.38,14.66,12.69,11.16,    ,    ,25,      ,          ,1999,      ,,5.239260641,0.900269632,12.21319215
2MASS J15530228+1532369 A  ,x,J15530228+1532369  ,15,53,2.3,15,32,37,13.32,0.16,T6.5,     ,     ,     ,     ,     ,16.41,16.52,15.51,16.07,15.28,13.02,12.02,941,    ,42,      ,          ,1999,      ,,3.799302927,0.533957205,12.75549242
2MASS J15530228+1532369 B  ,x,J15530228+1532369  ,15,53,2.3,15,32,37,13.32,0.16,T7  ,     ,     ,     ,     ,     ,16.77,16.9,     ,16.5,     ,     ,     ,825,    ,37,4.2,44,2006,      ,,3.799302927,0.533957205,12.75549242
SDSS J162838.77+230821.1   ,,A J16283855+230824 ,16,28,38.9,23,8,20,13.32,0.16,T7  ,     ,     ,     ,     ,     ,16.46,16.11,15.87,      ,16.16,13.92,11.88,825,    ,    ,      ,          ,2002,      ,,5.166683184,0.180424553,12.27579862
SDSSp J053951.99-005902.0  ,,J05395200-0059019  ,5,39,52,0,59,2,13.14,0.37,L5  ,     ,     ,     ,     ,18,14.03,13.1,12.53,      ,11.87,11.58,11.41,1800,0.8,    ,      ,          ,2000,      ,,4.352990423,1.146046736,12.34494436
SDSS J004648.45+071517.4   ,,J00464841+0715177  ,0,46,48.4,7,15,18,13.1,2.5,L0  ,     ,     ,     ,     ,     ,13.89,13.18,12.55,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,4.104133261,0.268999106,12.4375934
WISEPA J161705.75+180714.3 ,,                   ,16,17,5.8,18,7,14,13.1,0.6,T8  ,     ,     ,     ,     ,     ,17.66,18.23,     ,      ,16.83,14.04,12.24,600,    ,7,      ,          ,2011,      ,,5.683603507,0.173649793,11.80154638
WISEPA J201824.96-742325.9 ,,                   ,20,18,25,-74,23,26,13.1,1.4,T7  ,     ,     ,     ,     ,     ,16.83,17.17,16.6,      ,16.61,13.72,12.51,710,    ,50,      ,          ,2011,      ,,5.589921844,0.562875532,11.83410093
WISEPA J213456.73-713743.6 ,,                   ,21,34,56.7,-71,37,44,13.1,    ,T9  ,     ,     ,     ,     ,     ,19.8,19.7,     ,      ,18.12,13.94,12.24,525,    ,    ,      ,          ,2011,      ,,4.689089639,0.763666741,12.20816331
2MASS J05012406-0010452    ,,J05012406-0010452  ,5,1,24.1,0,10,45,13.09,0.82,L4  ,     ,     ,     ,     ,     ,14.98,13.71,12.96,      ,12.05,11.52,10.95,    ,    ,    ,      ,          ,2006,      ,,6.469382953,0.28245936,11.376089
SDSSp J083008.12+482847.4  ,,J08300825+4828482  ,8,30,8.3,48,28,48,13.09,0.59,L8  ,     ,23.59,     ,21.26,     ,15.44,14.34,13.68,13.69,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,4.964741275,0.609593577,12.09660447
2MASSI J0847287-153237     ,,J08472872-1532372  ,8,47,28.7,-15,32,37,13.07,0.6,L2  ,     ,     ,     ,     ,     ,13.51,12.63,12.06,      ,11.71,11.45,10.93,2200,    ,    ,      ,          ,2003,      ,,4.027554418,0.56603586,12.42108324
GJ 1001 B                  ,x,J00043484-4044058  ,0,4,34.8,-40,44,6,13.01,0.67,L5  ,     ,     ,     ,     ,16.68,13.11,12.06,11.4,11.4,     ,     ,     ,1600,0.58,36,174,          ,1999,"		",,6.163201581,1.198005029,11.39472818
GJ 1001 C                  ,x,J00043484-4044058  ,0,4,34.8,-40,44,6,13.01,0.67,L5  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,36,0.82,4,2004,"		",,6.163201581,1.198005029,11.39472818
2MASS J05002100+0330501    ,,J05002100+0330501  ,5,0,21,3,30,50,13,1,L4  ,     ,     ,     ,     ,     ,13.67,12.68,12.06,      ,     ,     ,     ,1600,    ,    ,      ,          ,2007,      ,,6.427337875,0.846175084,11.26824368
2MASSI J0523382-140302     ,,J05233822-1403022  ,5,23,38.2,-14,3,2,13,1,L2.5,     ,     ,     ,     ,     ,13.08,12.22,11.64,      ,     ,     ,     ,2100,0.47,    ,      ,          ,2003,      ,,5.305942746,0.069458595,11.86769342
