DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
SDSS J205755.92-005006.7   ,,J20575592-0050066  ,20,57,55.9,0,50,7,30.8,5.9,L0  ,     ,21.83,     ,19.09,     ,14.97,14.23,13.77,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,8.044475018,1.783417175,29.6773625
2MASS J21402931+1625183 B  ,x,J21402931+1625183  ,21,40,29.3,16,25,18,30.77,1.04,L0  ,     ,     ,     ,     ,16.4,14.15,13.44,12.97,12.83,     ,     ,     ,2075,0.92,50,3.61,20.1,2003,      ,,10.40014202,1.139000796,28.93670028
WISE J221628.62+195248.1   ,?,                   ,22,16,28.6,19,52,48,30.7,3.2,T3  ,     ,     ,     ,     ,     ,16.59,16.41,     ,16.28,15.7,14.64,12.93,    ,    ,6,      ,          ,2015,      ,,13.05711998,3.01447367,27.62090814
2MASS J08072925-3056330    ,,J08072925-3056330  ,8,7,29.3,-30,56,33,30.55,6.55,L3  ,     ,     ,     ,     ,     ,15.27,14.45,13.88,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,13.97472478,3.484290219,26.94196149
Beta Circini B             ,x,                   ,15,17,21.6,-58,51,30,30.55,0.18,L1.0,     ,     ,     ,     ,     ,14.54,13.68,13.21,      ,     ,     ,     ,2084,    ,59,6656,          ,     ,      ,,12.90286569,2.919620428,27.53714534
2MASS J12523229-5630529    ,,J12523229-5630529  ,12,52,32.3,-56,30,53,30.52,4.13,L1.5,     ,     ,     ,     ,18.76,14.74,13.91,13.29,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,8.778850881,1.155757644,29.20730048
SDSS J161611.36+521327.9   ,,J16161134+5213277  ,16,16,11.4,52,13,28,30.5,5.8,L0  ,     ,22.55,     ,19.9,     ,15.4,14.63,14.18,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,13.32612165,0.756712026,27.42429341
SDSS J163041.37+093844.3   ,,J16304139+0938446  ,16,30,41.4,9,38,45,30.5,5.8,L0  ,     ,     ,     ,19.49,     ,14.87,13.94,13.3,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,11.4280475,1.912399286,28.21333832
WISE J054455.54+063940.3   ,,                   ,5,44,55.5,6,39,40,30.5,6.5,L0.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,9.671611059,1.661886728,28.87815908
WISE J122221.95-213948.6   ,,                   ,12,22,22,-21,39,49,30.5,2.5,L6  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015,      ,,12.42167735,2.134434543,27.77401881
HD 167665 b                ,x,J18172374-2817203  ,18,17,23.8,-28,17,20,30.49,0.48,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,51,5.5,12.01,2007, UNCON,,13.16239083,0.978134601,27.48517456
GJ 618.1 B                 ,x,J16202614-0416315  ,16,20,26.1,-4,16,32,30.33,2.41,L2.5,     ,     ,     ,     ,     ,15.28,14.35,13.6,13.59,     ,     ,     ,    ,    ,42,1090,          ,2001,      ,,12.73471786,0.890498221,27.51259482
SDSS J003609.26+241343.3   ,,J00360925+2413434  ,0,36,9.3,24,13,43,30.3,8,L5.5,     ,     ,     ,     ,     ,17.03,16.11,15.66,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,10.82198178,0.61451666,28.29482425
SDSS J082906.61+145620.7   ,,J08290664+1456225  ,8,29,6.6,14,56,23,30.3,2.4,L2  ,     ,     ,     ,19.17,     ,14.75,13.8,13.17,      ,12.82,12.52,12.16,    ,    ,    ,      ,          ,2000,      ,,11.35627254,2.831436753,27.94831014
ULAS J141756.22+133045.8   ,,                   ,14,17,56.2,13,30,46,30.3,2.75,T5.5,     ,25.35,     ,24.77,     ,16.77,17,17,17,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,12.94038124,1.70363351,27.34472831
LSR J1610-0040 B           ,x,J16102900-0040530  ,16,10,29,0,40,53,30.21,1.2,L   ,     ,17.97,17.51,15.89,14.81,12.91,12.3,12.02,      ,11.64,11.54,     ,1900,    ,63,0.404,1.662,2003,      ,,13.68181813,2.412473681,26.82595615
SDSS J171145.71+223204.3 A ,x,J17114573+2232044  ,17,11,45.7,22,32,4,30.2,4.39,L5  ,     ,     ,     ,     ,20.4,17.48,15.94,14.79,      ,14.35,13.8,12.6,    ,    ,    ,      ,          ,2000,      ,,13.60478637,1.912028033,26.89412457
SDSS J171145.71+223204.3 B ,x,J17114573+2232044  ,17,11,45.7,22,32,4,30.2,4.39,T5.5,     ,     ,     ,     ,     ,18.4,18.04,17.84,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,13.60478637,1.912028033,26.89412457
WISE J114316.04-202425.7   ,,                   ,11,43,16,-20,24,26,30.2,3.2,T2  ,     ,     ,     ,     ,     ,16.74,16.3,     ,15.99,15.67,14.42,12.2,    ,    ,    ,      ,          ,2015,      ,,9.869114291,1.03728571,28.52305421
WISE J161843.22+084306.9   ,,                   ,16,18,43.2,8,43,7,30.2,2.9,T4.5,     ,     ,     ,     ,     ,16.84,16.8,     ,16.8,16.53,14.9,12.53,    ,    ,    ,      ,          ,2015,      ,,12.68907128,2.409095456,27.29878622
