_RAJ2000,_DEJ2000,Teff,R*,e_R*,M*,e_M*,Dist,HIP
61.893128,38.074806,5310,1.2331,0.107702,0.947854,0.120974,20.58036633,19255
62.128708,12.337921,5065,0.826846,0.106258,0.846533,0.100462,30.58931464,19325
62.152553,38.039735,6429.45,0.71379,0.0403792,1.219582592,0.0868764,21.25987228,19335
62.1558,33.637,3686,0.53,0.016,0.585,0.003,19.03925717,19337
63.626197,3.022055,4913.59,1.05358,0.0936939,0.932114,0.118108,31.12511049,19788
63.857446,6.19967,5654.76,1.23743,0.104526,1.30538,0.257444,22.08807399,19855
63.869992,6.186907,5929.58,1.42932,0.122391,1.53538,0.363186,21.18644034,19859
64.120917,-59.3022,4846,NaN ,NaN  ,1.23,NaN,18.23486501,19921
64.1737,-12.5564,3640,0.596,0.04,0.62,0.036,24.19914378,19948
64.315234,20.578664,7541,3.11211,0.290589,1.73527,0.383629,28.67794666,19990
65.399552,48.336957,4504,0.75902,0.118353,0.707653,0.0846763,29.25097889,20359
65.686501,16.790968,5726.27,1.26103,0.114843,1.51933,0.359376,31.22817013,20441
66.04826,-57.071983,5658,1.03589,0.0913262,1.00357,0.12424,27.08559047,20552
66.050852,-57.071365,5887.01,1.09008,0.0954824,1.04016,0.123966,27.08559047,20552
66.85292,46.853175,5747,1.28095,0.110246,1.00937,0.124006,29.94557471,20800
68.460011,5.385018,5338.8,0.977408,0.0847269,1.0119,0.123906,27.66343558,21272
68.475991,64.633164,5421,1.07332,0.106417,1.05685,0.125626,27.53303965,21276
68.660389,-35.658073,5457.25,0.937818,0.0817005,0.940947,0.119785,28.15093405,21327
68.980213,16.509084,4055,45.1,NaN  ,1.13,NaN,20.4332,21421
69.025887,55.412258,4981.12,1.31579,0.134368,1.06169,0.126407,29.21413964,21433
69.201021,27.132166,4831,0.656013,0.0562241,0.684525,0.0812041,17.47705932,21482
69.400558,-2.473586,NaN,NaN ,NaN  ,1.75,NaN,29.76190476,21547
69.4205,52.8936,3896,0.598,0.017,0.621,0.011,12.67334414,21553
69.4244,-11.0389,3602,0.467,0.014,0.522,0.003,17.8628191,21556
69.46758,60.676227,5560,0.85,NaN  ,0.85,NaN,30.63697331,21571
70.0054,-31.0753,3767,0.65,0.035,0.669,0.029,31.58093618,21733
70.140566,-41.863779,6972,NaN ,NaN  ,NaN      ,NaN,20.13287699,21770
70.401338,42.118451,5688.5,1.04441,0.09282,1.06822,0.127734,27.02476279,21832
70.459348,38.280172,6008.8,2.51073,0.227958,1.61521,0.375345,31.22073176,21847
70.514519,-37.144264,6816.68,NaN ,NaN  ,NaN      ,NaN,27.65486737,21861
70.7324,18.9582,3679,0.45,NaN  ,0.45,NaN,13.85000723,21932
70.807078,-54.593423,5385.09,0.935908,0.0805039,0.934262,0.11853,27.28877804,21960
71.410803,-50.074207,5138.44,0.821315,0.070999,0.860328,0.10285,20.60687239,22122
71.901232,-16.934432,5834,0.91837,0.0436798,1.050574427,0.0718032,13.2767,22263
72.151488,-5.673944,5994,1.53,NaN  ,1.23,NaN,26.35037439,22336
72.175567,18.70947,5752.6,1.46114,0.127837,1.22048,0.20338,30.27028336,22349
72.404563,-53.881551,5266,0.664414,0.0601295,0.666908,0.0778229,29.58253921,22431
72.460018,6.96137,6398,1.60458,0.135061,1.12799,0.150126,8.025682183,22449
72.872696,35.815096,5707,1.67266,0.143847,1.26913,0.234355,30.02471034,22576
72.931508,45.834133,5862,1.22993,0.118707,1.10772,0.140761,29.90430622,22596
72.940459,-35.840268,5336.02,0.762297,0.0741943,0.900586,0.111228,27.77345746,22602
73.0239,6.4765,3370,0.38,NaN  ,0.36,NaN,19.13852974,22627
73.1747,19.9995,3472,0.373,0.074,0.383,0.092,29.18540433,22684
73.38,-55.8603,3509,0.427,0.013,0.473,0.003,17.0772188,22738
73.4583,-17.7734,3551,0.413,0.012,0.455,0.003,21.68827444,22762
73.484181,36.757427,5398.9,1.05192,0.091553,1.05271,0.125067,27.44465649,22776
73.51752,-35.404523,5355,0.90606,0.0788593,0.929692,0.117576,25.76423152,22787
73.720978,-58.547639,6561.78,1.31077,0.115348,1.30823,0.259242,30.88326025,22844
74.6916,50.9438,3801,0.505,0.022,0.562,0.016,30.83010473,23140
74.7107,49.8493,3884,0.609,0.018,0.632,0.012,17.17216291,23147
74.8951,1.7835,3829,0.556,0.084,0.602,0.108,21.66082532,23200
75.1964,-57.2571,3874,0.576,0.082,0.624,0.107,22.98784423,23309
75.204204,-5.753674,4930.93,0.7722,0.0281612,0.857173312,0.0559752,8.81367883,23311
75.495,9.9831,3277,0.274,0.048,0.261,0.057,12.41227613,23418
75.541049,14.081576,5413.86,0.952213,0.0837404,1.08569,0.132421,28.59626647,23431
75.571111,-56.080574,5652,0.87777,0.0767581,0.980253,0.124481,22.01028761,23437
75.6184,-21.2566,3831,0.624,0.019,0.645,0.013,9.618337233,23452
75.702843,-49.151408,6635,1.51883,0.139474,1.37772,0.30105,26.08078785,23482
75.710251,66.822958,6337,1.3866,0.124602,1.40784,0.317141,27.94857558,23484
