    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2MASS J13004255+1912354    |  |J13004255+1912354  |13 | 0| 42.6 | +19|12|35|13.90|0.90|L1  |     |     |     |     |     |12.72|12.08|11.62|      |     |     |     |2200|0.58|    |      |          | 2000|      |
WISEP J130141.62-030212.9  |  |                   |13 | 1| 41.6 | -03| 2|13|13.00|  ? |T8.5|     |     |     |     |     |18.00|18.39|     |      |18.06|14.95|12.24|    |    |    |      |          | 2013|      |
2MASS J13015465-1510223    |  |J13015465-1510223  |13 | 1| 54.7 | -15|10|22|32.00|2.00|L1  |     |     |     |     |     |14.54|13.67|13.10|      |12.79|12.52|11.96|    |    |    |      |          | 2002|      |
ULAS J130217.21+130851.2   |  |                   |13 | 2| 17.2 | +13| 8|51|15.38|1.18|T8.5|     |     |     |     |     |18.11|18.60|18.28|      |17.94|14.90|11.96| 675|    |10  |      |          | 2010|      |
Kelu-1 Aa                  | x|J13054019-2541059  |13 | 5| 40.2 | -25|41| 6|18.66|0.70|L2  |21.77|     |19.10|     |16.94|13.41|12.39|11.75|11.80 |11.25|10.92|10.37|2100|1.20|63  |    4 |          | 1997|      |
Kelu-1 Ab                  | x|J13054019-2541059  |13 | 5| 40.2 | -25|41| 6|18.66|0.70|T7.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2005|      |
Kelu-1 B                   | x|J13054019-2541059  |13 | 5| 40.2 | -25|41| 6|18.66|0.70|L4  |     |     |     |     |     |13.41|12.39|11.75|      |     |     |     |    |    |58  |  5.4 |       52 | 1997|      |
SDSS J130541.04+204639.8   |  |J13054106+2046394  |13 | 5| 41.1 | +20|46|39|20.60|3.90|L4  |     |     |     |20.11|     |15.20|14.04|13.37|      |     |     |     |    |    |    |      |          | 2003|      |
2MASS J13080663-4925505    |  |J13080663-4925505  |13 | 8|  6.6 | -49|25|51|27.50|2.00|M8.5|     |     |     |     |     |13.52|12.86|12.41|      |     |     |     |    |    |    |      |          | 2012| UNCON|
WISEPC J131106.24+012252.4 |  |                   |13 |11|  6.1 | +01|23| 3|16.13|3.12|T9  |     |     |     |     |     |18.75|19.09|     |18.30 |18.06|14.73|12.32| 641|0.88|27  |      |          | 2011|      |
2MASSW J1311391+803222 A   | x|J13113921+8032219  |13 |11| 39.2 | +80|32|22|13.70|    |L2  |     |     |18.60|     |15.10|12.76|12.12|11.68|      |     |     |     |    |    |    |      |          |     |      |
2MASSW J1311391+803222 B   | x|J13113921+8032219  |13 |11| 39.2 | +80|32|22|13.70|    |M8  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2003| UNCON|
SDSS J131142.11+362923.9   |  |J13114227+3629235  |13 |11| 42.3 | +36|29|24|26.40|    |L5  |     |23.09|     |20.50|     |15.55|14.75|14.14|      |13.50|13.07|12.52|    |    |    |      |          | 2011|      |
SDSS J131207.01+393744.5   |  |J13120707+3937445  |13 |12|  7.1 | +39|37|45|25.90|4.90|L0  |     |     |     |     |     |14.17|13.41|12.95|      |     |     |     |    |    |    |      |          | 2004|      |
2MASS J13142039+1320011    |  |J13142039+1320011  |13 |14| 20.4 | +13|20| 1|16.40|0.80|M7  |15.90|     |14.90|     |11.40|9.75 |9.18 |8.80 |8.79  |     |     |     |    |    |    |      |          |     | UNCON|
ULAS J131508.42+082627.4   |  |                   |13 |15|  8.4 | +08|26|27|23.36|4.20|T7.5|     |     |     |     |     |18.86|19.50|19.60|      |     |     |     | 608|0.96|    |      |          | 2008|      |
2MASS J13153094-2649513 A  | x|J13153094-2649513  |13 |15| 30.9 | -26|49|51|18.00|2.00|L3.5|     |     |17.70|     |     |15.14|14.14|13.46|13.45 |12.73|12.28|11.87|1760|0.84|70  |      |          | 2002|      |
2MASS J13153094-2649513 B  | x|J13153094-2649513  |13 |15| 30.9 | -26|49|51|19.00|3.00|T7  |     |     |     |     |     |18.20|18.66|18.79|      |     |     |     | 790|0.91|28  |  6.6 |       52 | 2011|      |
WISEP J131833.98-175826.5  |  |                   |13 |18| 34.0 | -17|58|27|10.10|    |T9  |     |     |     |     |     |18.43|17.71|17.67|      |18.10|14.75|12.43| 525|    |    |      |          | 2013|      |
WISEPC J132004.16+603426.2 |  |                   |13 |20|  4.2 | +60|34|26|17.20|    |T6.5|     |     |     |     |     |16.50|16.72|16.40|      |16.61|14.49|12.42| 975|    |    |      |          | 2011|      |
WISEPA J132233.66-234017.1 |  |                   |13 |22| 33.7 | -23|40|17|10.40|    |T8  |     |     |     |     |     |17.01|16.61|16.99|      |17.19|13.88|12.70| 675|    |    |      |          | 2011|      |
PSO J201.0320+19.1072      |  |                   |13 |24|  7.7 | +19| 6|26|20.00|4.00|T3.5|     |     |     |     |     |15.77|15.47|15.41|      |     |     |     |    |    |    |      |          | 2011|      |
2MASS J13243559+6358284 A  | x|J13243559+6358284  |13 |24| 35.6 | +63|58|28|13.00|1.00|L9  |     |     |     |     |     |15.60|14.58|14.06|      |13.15|12.28|10.79|    |    |    |      |          | 2007|      |
2MASSW J1326201-272937     |  |J13262009-2729370  |13 |26| 20.1 | -27|29|37|24.00|2.00|L5  |     |     |     |     |     |15.85|14.74|13.85|      |12.86|12.33|11.28|    |    |    |      |          | 2002|      |
SDSSp J132629.82-003831.5  |  |J13262981-0038314  |13 |26| 29.8 | -00|38|31|20.01|2.53|L8  |     |     |     |     |     |16.10|15.05|14.21|14.16 |13.27|12.72|11.82|    |    |    |      |          | 2000|      |
