    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
DENIS-P J2143510?833712    |  |J21435174-8337135  |21 |43| 51.7 | -83|37|14|19.20|3.20|L0  |     |     |     |     |16.08|13.34|12.76|12.40|12.22 |     |     |     |    |    |    |      |          | 2010|      |
HN Peg B                   | x|J21442847+1446077  |21 |44| 28.5 | +14|46| 8|18.39|0.29|T2.5|     |     |     |     |     |15.86|15.55|15.12|15.63 |13.29|12.57|11.67|1090|1.10|16  |  795 |          | 2007|      |
Wolf 940 B                 | x|J21464040-0010233  |21 |46| 38.8 | -00|10|39|11.98|0.56|T8.5|     |     |     |     |     |18.16|18.77|18.85|18.97 |16.72|14.24|     | 605|0.88|35  |  396 |          | 2009|      |
WISEP J214706.78-102924.0  |  |                   |21 |47|  6.8 | -10|29|24|20.00|  ? |T7.5|     |     |     |     |     |17.66|17.81|17.12|      |17.60|15.06|12.47|    |    |    |      |          | 2013|      |
2MASS J21474365+1431315 A  | x|J21474365+1431315  |21 |47| 43.7 | +14|31|32|21.80|    |L0  |     |     |     |     |17.30|13.82|13.11|12.65|      |     |     |     |    |    |88  |      |          | 2003| UNCON|
2MASS J21474365+1431315 B  | x|J21474365+1431315  |21 |47| 43.7 | +14|31|32|21.80|    |L2  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |82  |    7 |       65 | 2003| UNCON|
2MASS J21481326-6323265    |  |J21481326-6323265  |21 |48| 13.3 | -63|23|27|15.00|  ? |L8  |     |     |     |     |     |15.33|14.34|13.77|      |13.48|13.31|12.28|    |    |    |      |          |     |      |
2MASS J21481628+4003593    |  |J21481633+4003594  |21 |48| 16.3 | +40| 3|59| 7.00|1.00|L6  |     |     |     |     |     |14.15|12.78|11.77|      |10.74|10.24|9.66 |    |    |    |      |          | 2008|      |
CFBDSIRJ214947.2-040308.9  |  |                   |21 |49| 47.2 | -04| 3| 9|27.00|3.00|T7  |     |     |     |     |     |19.48|19.89|19.35|      |17.40|15.99|     | 700|    | 6  |      |          | 2012|      |
DENIS-P J2150133?661036    |  |J21501324-6610366  |21 |50| 13.2 | -66|10|37|16.50|2.90|L0  |     |     |     |     |17.23|13.86|13.11|12.65|12.55 |     |     |     |    |    |    |      |          | 2010|      |
DENIS-P J2150149?752035    |  |J21501592-7520367  |21 |50| 15.9 | -75|20|37|20.10|3.60|L1  |     |     |     |     |17.45|14.06|13.18|12.67|12.55 |     |     |     |    |    |    |      |          | 1999|      |
2MASS J21513839-4853542    |  |J21513839-4853542  |21 |51| 38.4 | -48|53|54|19.84|2.64|T4  |     |     |     |     |     |15.73|15.17|15.43|      |14.95|13.63|12.20|    |    |    |      |          | 2002|      |
2MASS J21522609+0937575 A  | x|J21522609+0937575  |21 |52| 26.1 | +09|37|58|24.20|5.00|L6  |     |     |     |     |     |15.19|14.08|13.34|      |     |     |     |    |    |79  |      |          | 2006|      |
2MASS J21522609+0937575 B  | x|J21522609+0937575  |21 |52| 26.1 | +09|37|58|24.20|5.00|L6  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |79  |    6 |       56 | 2008|      |
2MASS J21543318+5942187    |  |J21543318+5942187  |21 |54| 33.2 | +59|42|19|10.00|1.00|T5  |     |     |     |     |     |15.66|15.77|15.34|      |15.73|13.60|13.01| 975|    |    |      |          | 2007|      |
2MASS J21572060+8340575    |  |J21572060+8340575  |21 |57| 20.6 | +83|40|58|26.00|  ? |L0  |     |     |     |     |     |13.97|13.07|12.58|      |     |     |     |    |    |    |      |          | 2008|      |
2MASS J21574904-5534420    |  |J21574904-5534420  |21 |57| 49.0 | -55|34|42|25.00|2.00|L0  |     |     |     |     |     |14.26|13.44|13.00|      |     |     |     |    |    |    |      |          | 2000|      |
WISEPC J215751.38+265931.4 |  |                   |21 |57| 51.4 | +26|59|31|18.90|    |T7  |     |     |     |     |     |17.31|17.45|     |      |16.96|14.55|11.93| 825|    |    |      |          | 2011|      |
2MASS J21580457-1550098    |  |J21580457-1550098  |21 |58|  4.6 | -15|50|10|25.00|5.00|L4  |     |     |     |     |18.80|15.04|13.87|13.19|      |12.57|12.23|11.66|    |    |    |      |          | 2003|      |
Epsilon Indi Ba            | x|J22041052-5646577  |22 | 4| 10.5 | -56|46|58| 3.63|0.01|T1  |     |     |20.75|     |16.59|12.29|11.51|11.35|11.17 |10.63|9.44 |8.35 |1276|0.89|47  | 1500 |          | 2003|      |
Epsilon Indi Bb            | x|J22041052-5646577  |22 | 4| 10.5 | -56|46|58| 3.62|0.00|T6  |     |     |     |     |     |13.23|13.27|13.53|      |     |     |     | 854|0.94|28  | 2.65 |       22 | 2003|      |
WISEP J220905.73+271143.9  |  |                   |22 | 9|  4.8 | +27|11|58| 6.80|0.51|Y1  |     |     |     |     |     |22.86|22.39|     |      |18.83|14.77|12.46| 350|1.00|12  |      |          | 2013|      |
2MASS J22092183-2711329    |  |J22092183-2711329  |22 | 9| 21.8 | -27|11|33|20.88|5.45|T2.5|     |     |     |     |     |15.79|15.14|15.10|      |14.62|13.51|12.35|1300|1.00|    |      |          |     |      |
WISEPC J220922.10-273439.5 |  |                   |22 | 9| 22.1 | -27|34|40|14.10|    |T7  |     |     |     |     |     |16.81|16.41|16.90|      |16.47|13.79|12.28| 825|    |    |      |          | 2011|      |
2MASS J22120703+3430351    |  |J22120703+3430351  |22 |12|  7.0 | +34|30|35|30.00|1.00|L5  |     |     |     |     |     |16.32|15.18|14.37|      |     |     |     |    |    |    |      |          | 2003|      |
WISEA J221216.27-693121.6  |  |                   |22 |12| 16.3 | -69|31|22|16.80|0.50|T9  |     |     |     |     |     |19.74|20.23|     |      |17.26|14.87|12.62| 550|    |    |      |          | 2015|      |
WISEPC J221354.69+091139.4 |  |                   |22 |13| 54.7 | +09|11|39|18.00|    |T7  |     |     |     |     |     |17.13|17.32|16.99|      |16.64|14.51|12.33| 825|    |    |      |          | 2011|      |
WISEP J222055.31-362817.4  |  |                   |22 |20| 55.0 | -36|28|16| 9.43|2.14|Y0  |     |     |     |     |     |20.45|20.86|     |      |18.77|14.71|12.81| 404|0.95|14  |      |          | 2012|      |
WISE J222219.93+302601.4   |  |                   |22 |22| 19.9 | +30|26| 1|17.00|1.00|L9  |     |     |     |     |     |15.89|15.49|14.91|      |14.00|13.58|12.55|    |    |    |      |          | 2013|      |
2MASS J22244381-0158521    |  |J22244381-0158521  |22 |24| 43.8 | -01|58|52|11.40|0.10|L4.5|     |     |20.29|     |18.02|14.07|12.82|12.02|      |11.36|11.12|10.65|1600|0.53|    |      |          | 2000|      |
WISEPC J222623.05+044003.9 |  |                   |22 |26| 23.1 | +04|40| 4|13.80|    |T8  |     |     |     |     |     |17.02|17.45|     |17.24 |17.41|14.63|12.24| 675|    |    |      |          | 2011|      |
2MASS J22282889-4310262    |  |J22282889-4310262  |22 |28| 28.9 | -43|10|26|10.64|0.79|T6  |     |     |     |     |     |15.66|15.36|15.30|      |15.18|13.29|11.63|1110|1.03|27  |      |          | 2003|      |
2MASS J22341394+2359559    |  |J22341394+2359559  |22 |34| 13.9 | +23|59|56|20.70|1.30|M9.5|     |     |     |     |16.50|13.18|12.35|11.84|      |     |     |     |    |    |    |      |          | 2003|      |
WISEP J223720.39+722833.8  |  |                   |22 |37| 20.4 | +72|28|34|14.10|    |T6  |     |     |     |     |     |15.76|15.94|15.99|      |15.67|13.61|12.62| 975|    |    |      |          | 2013|      |
WISEPC J223729.53-061434.2 |  |                   |22 |37| 29.5 | -06|14|34|16.40|    |T5  |     |     |     |     |     |17.40|17.40|17.05|      |17.53|14.66|12.46|    |    |    |      |          | 2011|      |
G 216-7 B                  | x|J22373255+3922398  |22 |37| 32.6 | +39|22|40|19.54|0.62|M9.5|     |     |19.20|     |16.10|13.34|12.69|12.18|12.18 |     |     |     |    |    |73  |  630 |          | 2001|      |
2MASSI J2238074+435317 A   | x|J22380742+4353179  |22 |38|  7.4 | +43|53|18|21.80|1.60|L1.5|     |     |     |     |     |13.84|13.05|12.52|      |     |     |     |    |    |    |      |          | 2000|      |
2MASSI J2238074+435317 B   | x|J22380742+4353179  |22 |38|  7.4 | +43|53|18|21.80|1.60|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    | 8.62 |          | 2010| UNCON|
WISEPC J223937.55+161716.2 |  |                   |22 |39| 37.6 | +16|17|16|18.30|    |T3  |     |     |     |     |     |16.18|15.50|15.36|      |14.62|13.44|12.11|    |    |    |      |          | 2011|      |
2MASS J22425317+2542573    |  |J22425317+2542573  |22 |42| 53.2 | +25|42|57|27.00|2.00|L3  |     |     |     |     |     |14.81|13.74|13.05|      |     |     |     |    |    |    |      |          | 2001|      |
DENIS-P J2243169?593219    |  |J22431696-5932206  |22 |43| 17.0 | -59|32|21|29.00|4.00|L0  |     |     |     |     |17.40|14.07|13.39|12.84|12.97 |12.48|12.26|11.43|    |    |    |      |          | 2007|      |
2MASS J22443167+2043433    |  |J22443167+2043433  |22 |44| 31.7 | +20|43|43|19.00|2.00|L6.5|     |     |     |     |20.10|16.48|15.00|14.02|      |12.78|12.11|11.14|    |    |    |      |          | 2002|      |
2MASS J22490917+3205489    |  |J22490917+3205489  |22 |49|  9.2 | +32| 5|49|25.00|  ? |L5  |     |     |     |     |     |15.48|14.35|13.59|      |     |     |     |    |    |    |      |          | 2007|      |
DENIS-P J225210.73-173013.4| x|J22521073-1730134  |22 |52| 10.7 | -17|30|13|15.82|0.40|L4.5|     |     |     |     |17.90|14.31|13.36|12.90|13.00 |     |     |     |    |    |79  |      |          | 2003|      |
DENIS-P J225210.73-173013.4| x|J22521073-1730134  |22 |52| 10.7 | -17|30|13|15.82|0.40|T3.5|     |     |     |     |     |     |     |     |14.72 |     |     |     |    |    |68  |  1.9 |       10 |     |      |
2MASS J22541892+3123498    |  |J22541892+3123498  |22 |54| 18.9 | +31|23|50|13.89|0.58|T4  |     |     |     |     |     |15.26|15.02|14.90|      |14.63|13.25|12.00|    |    |    |      |          | 2002|      |
DENIS-P J225451.90-284025.4|  |J22545194-2840253  |22 |54| 51.9 | -28|40|25|28.20|2.00|L0.5|     |     |     |     |17.40|14.13|13.43|12.96|12.80 |     |     |     |    |    |    |      |          | 2003|      |
2MASS J22551861-5713056 A  | x|J22551861-5713056  |22 |55| 18.6 | -57|13| 6|12.00|1.00|L6  |     |     |     |     |     |14.08|13.19|12.58|      |     |     |     |    |    |79  |      |          | 2002|      |
2MASS J22551861-5713056 B  | x|J22551861-5713056  |22 |55| 18.6 | -57|13| 6|11.60|3.10|L8  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |74  |  1.6 |      7.5 |     |      |
WISEPC J225540.74-311841.8 |  |                   |22 |55| 40.7 | -31|18|42|13.70|    |T8  |     |     |     |     |     |17.34|17.70|16.40|      |16.62|14.08|12.20| 675|    |    |      |          | 2011|      |
WISEP J230133.32+021635.0  |  |                   |23 | 1| 33.3 | +02|16|35|18.60|    |T6.5|     |     |     |     |     |16.36|16.70|17.18|      |16.30|14.34|12.47| 975|    |    |      |          | 2013|      |
WISEP J230356.79+191432.9  |  |                   |23 | 3| 56.8 | +19|14|33|29.00|  ? |T4  |     |     |     |     |     |16.86|16.02|17.10|      |16.50|14.67|12.66|    |    |    |      |          | 2013|      |
ULAS J230601.02+130225.0   |  |                   |23 | 6|  1.0 | +13| 2|25|27.80|    |T6.5|     |     |     |     |     |17.57|18.00|18.03|      |17.79|15.00|12.80| 975|    |    |      |          | 2010|      |
2MASSW J2306292-050227     |  |J23062928-0502285  |23 | 6| 29.3 | -05| 2|29|12.10|1.20|L4  |     |     |16.40|     |13.97|11.35|10.72|10.30|      |     |     |     |    |    |    |      |          |     |      |
SSSPM J2307-5009           |  |J23065876-5008589  |23 | 6| 58.8 | -50| 8|59|20.00|  ? |L0.5|     |     |     |     |     |13.39|12.70|12.24|      |     |     |     |    |    |    |      |          | 2005|      |
2MASS J23072655+8753294    |  |J23072655+8753294  |23 | 7| 26.6 | +87|53|29|25.00|  ? |L3  |     |     |     |     |     |14.69|13.84|13.17|      |     |     |     |    |    |    |      |          | 2008|      |
DENIS-P J2308113?272200    |  |J23081134-2722001  |23 | 8| 11.3 | -27|22| 0|26.30|5.70|L1.5|     |     |     |     |18.11|14.66|13.83|13.33|13.18 |     |     |     |    |    |    |      |          | 2010|      |
SSSPM J2310-1759           |  |J23101846-1759090  |23 |10| 18.5 | -17|59| 9|27.47|5.21|L0  |     |     |     |     |     |14.38|13.58|12.97|      |12.59|12.29|12.11|1850|1.00|    |      |          | 2002|      |
WISEPA J231336.40-803700.3 |  |                   |23 |13| 36.4 | -80|37| 0| 9.30|0.40|T8  |     |     |     |     |     |16.97|16.19|16.36|      |16.19|13.68|12.35| 600|    | 7  |      |          | 2011|      |
ULAS J231557.61+132256.2   |  |                   |23 |15| 57.6 | +13|22|56|31.60|    |T6.5|     |     |     |     |     |17.71|18.16|18.14|      |17.95|15.41|12.46| 975|    |    |      |          | 2010|      |
2MASS J23174712-4838501    |  |J23174712-4838501  |23 |17| 47.1 | -48|38|50|25.00|  ? |L4  |     |     |     |     |     |15.15|13.93|13.18|      |     |     |     |    |    |    |      |          | 2008|      |
2MASS J23185497-1301106    |  |J23185497-1301106  |23 |18| 55.0 | -13| 1|11|19.00|  ? |T3  |     |     |     |     |     |15.55|15.24|15.02|      |15.08|13.68|12.65|    |    |    |      |          |     |      |
WISEPC J231939.13-184404.3 |  |                   |23 |19| 39.1 | -18|44| 4|16.00|    |T7.5|     |     |     |     |     |17.56|17.95|16.01|      |17.04|13.73|12.08| 825|    |    |      |          | 2011|      |
ULAS J232035.28+144829.8   |  |                   |23 |20| 35.3 | +14|48|30|21.28|1.81|T5  |     |23.70|     |23.20|     |16.79|17.14|17.40|17.25 |16.61|14.30|12.63|    |    |    |      |          | 2010|      |
2MASS J23211254-1326282    |  |J23211254-1326282  |23 |21| 12.5 | -13|26|28|32.00|2.00|L1  |     |     |     |     |     |14.50|13.58|13.14|      |     |     |     |    |    |    |      |          | 2007|      |
ULAS J232123.79+135454.9   |  |                   |23 |21| 23.8 | +13|54|59|11.90|0.57|T7.5|     |25.70|     |24.17|     |16.72|17.15|17.16|17.36 |17.19|14.06|12.39| 800|    |    |      |          | 2010|      |
DENIS-P J2322468?313323    |  |J23224684-3133231  |23 |22| 46.8 | -31|33|23|17.06|1.63|L0  |     |     |     |     |16.84|13.58|12.79|12.32|12.29 |     |     |     |    |    |    |      |          | 2008|      |
CFBDS J232304-015232       |  |                   |23 |23|  4.4 | -01|52|34|29.00|8.00|T6  |     |     |     |     |     |17.23|17.46|17.30|      |16.68|15.07|     | 975|    |    |      |          | 2011|      |
WISEPC J232519.54-410534.9 |  |                   |23 |25| 19.5 | -41| 5|35|11.50|    |T9  |     |     |     |     |     |19.75|19.22|     |      |17.50|14.11|12.49| 525|    |    |      |          | 2011|      |
2MASS J23254530+4251488    |  |J23254530+4251488  |23 |25| 45.3 | +42|51|49|14.00|1.00|L8  |     |     |     |     |     |15.49|14.45|13.76|      |     |     |     |    |    |    |      |          | 2003|      |
WISEPC J232728.75-273056.5 |  |                   |23 |27| 28.8 | -27|30|57|21.70|    |L9  |     |     |     |     |     |16.68|15.48|14.76|      |14.03|13.21|11.69|    |    |    |      |          | 2011|      |
ULAS J232802.03+134544.8   |  |                   |23 |28|  2.0 | +13|45|45|27.60|    |T7  |     |     |     |     |     |17.75|18.17|18.29|      |18.19|15.11|12.62| 825|    |    |      |          | 2010|      |
DENIS-P J2329343?540858    |  |J23293174-5408587  |23 |29| 31.7 | -54| 8|59|25.60|4.90|L3  |     |     |     |     |18.37|14.96|14.28|13.82|13.22 |     |     |     |    |    |    |      |          | 2010|      |
DENIS-P J2330226?034717    |  |J23302258-0347189  |23 |30| 22.6 | -03|47|19|31.00|4.00|L1  |     |     |     |     |17.74|14.48|13.75|13.12|13.13 |     |     |     |    |    |    |      |          | 2007|      |
HD 221356 Bb               | x|J23310161-0406193  |23 |31|  1.6 | -04| 6|19|26.12|0.37|L3  |     |     |     |     |     |15.86|15.03|14.48|14.32 |     |     |     |    |    |65  | 14.4 |      139 | 2000|      |
2MASS J23312378-4718274    |  |J23312378-4718274  |23 |31| 23.8 | -47|18|27|13.00|2.00|T5  |     |     |     |     |     |15.66|15.51|15.39|      |14.79|13.36|11.56|    |    |    |      |          | 2004|      |
WISE J233226.49-432510.6   |  |                   |23 |32| 26.5 | -43|25|11|14.60|    |T9  |     |     |     |     |     |     |19.40|     |      |17.88|14.99|     | 525|    |    |      |          | 2012|      |
WISE J233527.07+451140.9   |  |                   |23 |35| 27.1 | +45|11|41|24.00|2.00|L9  |     |     |     |     |     |16.70|15.26|14.46|      |13.48|12.93|12.72|    |    |    |      |          | 2013|      |
WISEP J233543.79+422255.2  |  |                   |23 |35| 43.8 | +42|22|55|27.70|    |T7  |     |     |     |     |     |     |     |     |      |18.55|15.31|12.98| 825|    |    |      |          | 2013|      |
2MASS J23391025+1352284    |  |J23391025+1352284  |23 |39| 10.3 | +13|52|28|18.00|2.00|T5  |     |     |     |23.38|     |16.24|15.82|16.15|      |15.14|13.75|12.22|    |    |    |      |          | 2002|      |
Gamma Cephei b             | x|J23392083+7737563  |23 |39| 21.0 | +77|37|55|14.10|0.08|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |18  | 2.14 |    2.479 | 1988|      |
2MASS J23392527+3507165    |  |J23392527+3507165  |23 |39| 25.3 | +35| 7|17|31.00|  ? |L3.5|     |     |     |     |     |15.36|14.35|13.59|      |     |     |     |    |    |    |      |          | 2008|      |
WISEPC J234026.62-074507.2 |  |                   |23 |40| 26.6 | -07|45| 7|11.60|    |T7  |     |     |     |     |     |16.15|16.19|16.30|      |15.95|13.56|12.37| 825|    |    |      |          | 2011|      |
WISEP J234228.98+085620.2  |  |                   |23 |42| 28.9 | +08|56|20|15.70|    |T7  |     |23.74|     |23.98|     |16.37|16.73|15.94|16.98 |16.07|13.97|12.63| 975|    |    |      |          | 2010|      |
WISEPA J234351.20-741847.0 |  |                   |23 |43| 51.2 | -74|18|47|14.90|    |T6  |     |     |     |     |     |16.13|16.14|15.91|      |15.71|13.69|12.63| 975|    |    |      |          | 2011|      |
2MASS J23440624-0733282    |  |J23440624-0733282  |23 |44|  6.2 | -07|33|28|20.00|2.00|L4.5|     |     |     |     |     |14.80|13.85|13.23|      |     |     |     |    |    |    |      |          | 2008|      |
WISEPC J234446.25+103415.8 |  |                   |23 |44| 46.3 | +10|34|16|14.10|    |T9  |     |     |     |     |     |18.78|19.07|     |18.20 |18.03|14.90|11.76| 525|    |    |      |          | 2011|      |
DENIS-P J2345390+005514    |  |J23453903+0055137  |23 |45| 39.0 | +00|55|14|26.00|2.00|M9  |     |20.93|     |18.04|16.90|13.77|13.12|12.58|12.58 |     |     |     |    |    |    |      |          | 2008|      |
2MASS J23473680+2702068    |  |J23473680+2702068  |23 |47| 36.8 | +27| 2| 7|22.10|1.50|M9  |     |     |     |     |     |13.19|12.45|12.00|      |     |     |     |    |    |    |      |          | 2000|      |
WISEPC J234841.10-102844.4 |  |                   |23 |48| 41.1 | -10|28|44|16.60|    |T7  |     |     |     |     |     |17.01|16.93|16.71|      |16.57|14.27|12.56| 825|    |    |      |          | 2011|      |
2MASSW J2349489+122438     |  |J23494899+1224386  |23 |49| 49.0 | +12|24|39|19.60|1.60|L4  |18.80|     |18.50|     |15.40|12.60|11.97|11.56|      |     |     |     |    |    |    |      |          |     |      |
2MASS J23515044-2537367 B  | x|J23515044-2537367  |23 |51| 50.4 | -25|37|37|18.00|2.00|L0.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2005|      |
WISEA J235402.79+024014.1  |  |                   |23 |54|  2.8 | +02|40|14|10.10|0.40|Y1  |     |     |     |     |     |23.07|22.88|     |      |18.26|15.01|12.28| 350|    |    |      |          | 2015|      |
DENIS-P J235409.2-331627   | x|J23540928-3316266  |23 |54|  9.3 | -33|16|27|22.00|  ? |M8.5|20.70|     |     |     |16.00|13.05|12.37|     |11.88 |     |     |     |    |    |    | 2200 |          |     |      |
DENIS-P J2354599?185221    |  |J23545993-1852216  |23 |54| 59.9 | -18|52|22|21.50|3.90|L2  |     |     |     |     |17.49|14.18|13.44|13.04|12.83 |     |     |     |    |    |    |      |          | 2010|      |
SSSPM J2356-3426           |  |J23561081-3426044  |23 |56| 10.8 | -34|26| 4|17.00|  ? |L0.5|     |     |     |     |     |12.95|12.38|11.97|      |     |     |     |    |    |    |      |          | 2005|      |
2MASSI J2356547-155310     |  |J23565477-1553111  |23 |56| 54.8 | -15|53|11|14.50|0.72|T5.5|     |     |     |22.92|20.73|15.82|15.63|15.77|15.80 |15.53|13.64|12.01|    |    |    |      |          | 2002|      |
WISEP J235716.49+122741.8  |  |                   |23 |57| 16.5 | +12|27|42|16.80|    |T6  |     |     |     |     |     |16.10|16.49|16.12|      |15.84|13.99|12.35| 975|    |    |      |          | 2013|      |
WISEPA J235941.07-733504.8 |  |J23594034-7335055  |23 |59| 41.1 | -73|35| 5|11.53|0.76|T6.5|     |     |     |     |     |16.16|15.91|16.05|      |15.17|13.27|11.48| 930|    |38  |      |          | 2011|      |
SSSPM J2400-2008           |  |J23595762-2007394  |23 |59| 57.6 | -20| 7|39|29.00|  ? |L1  |     |     |     |     |     |14.38|13.62|13.25|      |     |     |     |    |    |    |      |          | 2005|      |
2MASS J00044144-2058298    |  |J00044144-2058298  | 0 | 4| 41.4 | -20|58|30|15.50|1.00|M9  |     |     |     |     |     |12.40|     |11.39|      |     |     |     |    |    |    |      |          |     | UNCON|
WISE J000856.39-281321.7   |  |J00085614-2813211  | 0 | 8| 56.4 | -28|13|22|29.00|5.00|L8  |     |     |     |     |     |16.73|15.66|15.05|      |14.12|13.64|     |    |    |    |      |          | 2015| UNCON|
WISE J001643.96+230426.7 A | x|J00164364+2304262 A| 0 |16| 44.0 | +23| 4|27|24.70|2.50|T0  |     |     |     |     |     |16.58|15.72|14.97|15.24 |14.29|13.65|12.20|    |    |    |      |          | 2015|      |
WISE J001643.96+230426.7 B | x|J00164364+2304262 B| 0 |16| 44.0 | +23| 4|27|24.70|2.50|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J001851.51+515330.6   |  |                   | 0 |18| 51.5 | +51|53|31|23.40|2.80|L7  |     |     |     |     |     |16.70|15.40|     |14.51 |13.58|13.04|12.55|    |    |10  |      |          | 2015|      |
2MASSI J0019457+521317 B   | x|I J0019457+521317 B| 0 |19| 45.7 | +52|13|17|20.00|2.00|T7  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          |     |      |
W|ISE J003140.64+333545.9  | |                      0 |3 | 40.6 | +33|35|46|21.40|2.60|L9  |     |     |     |     |     | 16.4| 15.4|     | 14.69| 13.6| 13.1| 12.0|    |    |    |      |          |  201|5     |
2MASS J00344300-4102266    |  |J00344300-4102266  | 0 |34| 43.0 | -41| 2|27|26.72|3.21|L1  |     |     |     |     |     |15.71|     |     |      |     |     |     |1700|1.48|13  |      |          |     |      |
WISE J010202.11+035541.4   |  |                   | 1 | 2|  2.1 | +03|55|41|27.00|2.00|L9  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015|      |
WISE J013525.37+020518.4   |  |                   | 1 |35| 25.4 | +02| 5|18|28.80|3.00|L9.5|     |     |     |     |     |16.48|15.66|     |14.99 |14.31|13.90|12.04|    |    |    |      |          | 2015|      |
WISE J014656.66+423410.0 B | x|                   | 1 |46| 56.7 | +42|34|10|10.64|1.58|Y0  |     |     |     |     |     |22.05|22.69|     |      |     |     |     | 330|0.92|16  | 0.93 |       6  | 2015|      |
WISE J020615.62+205435.3   |  |                   | 2 | 6| 15.6 | +20|54|35|24.70|2.30|T5.5|     |     |     |     |     |16.73|17.02|     |16.79 |16.60|14.70|12.28|    |    |    |      |          | 2015|      |
2MASS J02103857-3015313    |  |J02103857-3015313  | 2 |10| 38.6 | -30|15|31|31.30|7.80|L0  |     |     |     |     |     |15.07|14.16|13.50|      |13.00|12.65|11.93|1700|1.62|14  |      |          |     |      |
2MASS J02155892-0929121 C  | x|J02155892-0929121 C| 2 |15| 58.9 | -09|29|12|26.00|0.00|M7  |     |     |     |     |     |     |     |11.70|12.04 |     |     |     |    |    |42  |   90 |          |     |      |
WISE J022721.93+235654.3   |  |                   | 2 |27| 21.9 | +23|56|54|26.50|4.50|L9.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J024610.23+015644.4   |  |                   | 2 |46| 10.2 | +01|56|44|27.70|3.40|L8.5|     |     |     |     |     |16.91|15.85|     |15.10 |14.28|13.65|11.75|    |    |    |      |          | 2015|      |
LP 771-21                  |  |                   | 2 |48| 41.0 | -16|51|22|16.23|1.42|M8  |19.97|18.84|17.70|15.92|15.27|12.55|11.87|11.42|11.45 |11.17|10.98|10.80|2365|1.08|78  |      |          |     |      |
WISE J030119.39-231921.1   |  |                   | 3 | 1| 19.4 | -23|19|21|28.50|4.50|T0.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
HD 18757 B                 | x|J03040962+6142212 B| 3 | 4|  9.6 | +61|42|21|24.23|0.34|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |35  | 22.2 |     109  | 2015| UNCON|
WISE J030919.70-501614.2   |  |                   | 3 | 9| 19.7 | -50|16|14|11.00|2.00|T8  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J031627.78+265027.6   | x|                   | 3 |16| 27.8 | +26|50|28|23.50|2.40|T2.5|     |     |     |     |     |16.11|15.82|     |15.50 |15.08|13.97|12.47|    |    |    |      |          | 2015|      |
WISE J031627.78+265027.6 B | x|                   | 3 |16| 27.8 | +26|50|28|23.50|2.40|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
2MASS J03205965+1854233    |  |J03205965+1854233  | 3 |20| 59.7 | +18|54|23|14.51|0.13|M8  |     |18.00|     |15.30|     |11.76|11.07|10.64|      |10.35|10.15|9.87 |2586|1.15|88  |      |          |     | UNCON|
WISE J032309.12-590751.0   |  |                   | 3 |23|  9.1 | -59| 7|51|21.00|5.00|T6  |     |     |     |     |     |     |21.18|     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
WISE J033053.14-035027.3   |  |                   | 3 |30| 53.1 | -03|50|27|19.10|2.30|L9  |     |     |     |     |     |16.26|15.24|     |14.58 |13.65|12.93|12.07|    |    |    |      |          | 2015|      |
J0331-3042                 |  |                   | 3 |31| 30.3 | -30|24|40| 9.60|0.60|M9  |     |     |     |     |     |11.36|     |10.26|      |     |     |     |    |    |    |      |          |     | UNCON|
WISE J034011.81-211013.2   |  |                   | 3 |40| 11.8 | -21|10|13|31.30|3.30|T2  |     |     |     |     |     |16.95|16.29|     |16.12 |15.53|14.50|12.50|    |    |    |      |          | 2015|      |
WISE J034858.75-562017.8   |  |                   | 3 |48| 58.8 | -56|20|18|28.50|4.50|T2.5|     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2015| UNCON|
