id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
75480,75710,,,Gl 587.1,,,15.467029,25.789966,24.5519,90.5,-59.39,0,11.07,9.12,M0,1.61,-13.608403,-17.421383,10.681879,0.0000066,-0.00000905,-0.00000636,4.049258717,0.450119817,4.39E-07,-2.88E-07,,,CrB,1,75480,,0.019588447,,11.165,10.975
75489,75718,137763,,Gl 586A,,,15.469336,-9.348069,20.5846,72.69,-363.37,8.2,6.89,5.322,K2V,0.788,-12.493698,-16.014262,-3.343604,0.00000425,-0.00000634,-0.00003714,4.049862784,-0.16315459,3.52E-07,-1.76E-06,,,Lib,1,75489,Gl 586,0.647440705,,,
75493,75722,137778,,Gl 586B,,,15.470058,-9.35786,20.4918,81.53,-355.85,8,7.57,6.012,K2V,0.868,-12.434009,-15.943968,-3.331985,0.00000496,-0.00000681,-0.00003621,4.050051769,-0.163325467,3.95E-07,-1.73E-06,,,Lib,2,75489,Gl 586,0.342925673,,,
75569,75798,,,,,,15.485327,-17.381786,24.8942,-216.71,22.67,0,10.53,8.55,,1.423,-14.534901,-18.792324,-7.436829,-0.00002119,0.00001535,0.00000261,4.054049164,-0.303369398,-1.05E-06,1.10E-07,,,Lib,1,75569,,0.033113112,,10.583,10.473
75578,75807,,,,,,15.486163,-6.973433,14.5582,-15.71,5.55,0,12.47,11.654,,,-8.838383,-11.432415,-1.767498,-0.00000091,0.00000064,0.00000039,4.054268026,-0.121709363,-7.62E-08,2.69E-08,,,,1,75578,,0.001898454,,,
75580,75809,139777,5829,,,,15.486623,80.448602,21.8484,-225.23,107.78,-14,6.57,4.873,G8IV-V+...,0.665,-2.21716,-2.868318,21.545395,-0.00001054,0.00002537,-0.00001223,4.054388429,1.404092987,-1.09E-06,5.23E-07,,,UMi,1,75580,,0.979039017,,,
75600,75829,139813,,,,,15.490064,80.450267,21.5146,-217.42,105.53,-29,7.3,5.636,G5,0.803,-2.180347,-2.82596,21.216194,-0.00000832,0.00002634,-0.00002742,4.055289241,1.404122042,-1.05E-06,5.12E-07,,,UMi,1,75600,,0.484841739,,,
75810,76042,,,,,,15.529659,47.056838,30.4692,155.26,-297.42,0,10.51,8.091,K6,1.585,-12.508261,-16.565954,22.304365,-0.00000108,-0.00003948,-0.00002993,4.065655349,0.82129675,7.53E-07,-1.44E-06,,,Boo,1,75810,,0.050535899,FN,10.748,10.458
75841,76074,,,Gl 588,,,15.536988,-41.275586,5.9291,-1177.47,-1028.86,15.4,9.31,10.445,M0,1.524,-2.678394,-3.561312,-3.911408,-0.00002244,0.00002647,-0.00003262,4.067574074,-0.720394881,-5.71E-06,-4.99E-06,,,Lup,1,75841,,0.00578096,,,
75882,76114,138573,,,,,15.545459,10.968299,30.248,-6.09,158.69,-33,7.22,4.817,G5IV-V,0.656,-17.795616,-23.77222,5.755106,0.00002179,0.0000306,0.00001642,4.069791679,0.191432937,-2.95E-08,7.69E-07,,,Ser,1,75882,,1.03086074,,,
75915,76147,137628,,,,,15.55289,-74.347753,31.7259,-61.88,-172.46,53.2,8.97,6.463,K5V,1.01,-5.116344,-6.862339,-30.549865,-0.00000114,0.0000144,-0.00005955,4.071737157,-1.297613084,-3.00E-07,-8.36E-07,,,Aps,1,75915,,0.226360164,,,
75970,76202,,,Gl 588.1,,,15.56523,37.913802,31.3381,-0.91,-80.34,0,11.37,8.89,M0,1.475,-14.713728,-19.86883,19.256487,-0.00000457,-0.00000594,-0.00000963,4.074967706,0.661720674,-4.41E-09,-3.89E-07,,,CrB,1,75970,,0.02421029,,11.451,11.271
75987,76219,138716,5777,,37    Lib,,15.569638,-10.064529,28.9268,305.62,-234.12,48,4.61,2.303,K1IV,1,-16.923971,-22.908696,-5.055242,0.00000916,-0.00005973,-0.0000409,4.076121779,-0.175659162,1.48E-06,-1.14E-06,,37,Lib,1,75987,,10.44239219,,,
