,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pra,pdec,rv,ag,absag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,prarad,pdecrad,bayer,fla,con,comp,comp_primary,base,lu,var,var_in,var_ax,mass,mass_t,temperature,radius,radius_t,period,period_t,semiMajorAxis,semiMajorAxis_t,eccentricity,eccentricity_t
3245,119008,,,,Gl 579,,,15.12336,24.934573,16.0772,-870.36,492.42,-69.6,10.09,9.059,K5V,1.41,-9.968438,-10.633576,6.776375,5.70E-06,0.00010529,4.80E-06,3.959286375,0.435190402,-4.22E-06,2.39E-06,Gl 579,,Boo,1,119008,,0.020720489,,,,,,,,,,,,,,
1846,81848,82099,,,GJ 3972,,,16.770488,16.478015,16.0823,-344.3,-464.94,0,11.74,10.708,M3.0V,2.4,-4.878777,-14.629722,4.561703,-2.87E-05,-1.26E-06,-3.48E-05,4.390503538,0.287595622,-1.67E-06,-2.25E-06,,,Her,1,81848,,0.004537326,,11.855,11.655,0.474,0.005,3540,0.428,0.013,,,,,,
3300,118143,,,,Gl 98B,,,2.462785,4.432258,16.6058,140.52,206.77,0,9.5,8.399,K7V,,13.232437,9.950292,1.283302,-7.83E-06,8.27E-06,1.66E-05,0.64475557,0.077357495,6.81E-07,1.00E-06,Gl 98B,,Cet,2,11425,Gl  98,0.038053973,,,,,,,,,,,,,,
2595,114049,114411,,,Gl 891,,,23.171027,-25.931319,16.0849,716.81,19.43,0,11.27,10.238,M2V,1.566,14.126141,-3.114725,-7.033821,1.27E-05,5.44E-05,1.36E-06,6.066160739,-0.452586891,3.48E-06,9.42E-08,,,Scl,1,114049,,0.006995198,,11.347,11.177,,,,,,,,,,,
292,11425,11452,15285,,Gl 98A,,,2.462739,4.432153,17.1438,87.29,240,10.4,8.69,7.519,M2V,1.397,13.661346,10.272558,1.324855,2.88E-06,1.13E-05,2.07E-05,0.644743667,0.077355655,4.23E-07,1.16E-06,,,Cet,1,11425,Gl  98,0.085585462,,,,,,,,,,,,,,
3247,118908,,,,GJ 1174,,,13.66977,43.772575,16.1031,-1100.12,298.89,-42,12.76,11.725,M3.5V,1.64,-10.533571,-4.920992,11.138601,6.34E-06,9.78E-05,-1.29E-05,3.578737517,0.763975549,-5.33E-06,1.45E-06,GJ 1174,,,1,118908,,0.001778279,,,,,,,,,,,,,,
4260,118146,,,,Gl 99B,,,2.479393,32.260745,25.8331,399.44,129.79,0,10.5,8.439,~,,17.402211,13.205121,13.789014,-3.71E-05,3.46E-05,1.37E-05,0.649103464,0.563056213,1.94E-06,6.29E-07,Gl 99B,,Tri,2,11515,Gl  99,0.036677523,,,,,,,,,,,,,,
293,11515,11542,,,Gl 99A,,,2.479567,32.259489,26.1712,445.51,96.36,-9.7,9.57,7.481,M0V,1.33,17.629734,13.378641,13.968951,-4.61E-05,3.60E-05,5.04E-06,0.649149061,0.563034307,2.16E-06,4.67E-07,,,Tri,1,11515,Gl  99,0.088633929,,,,,,,,,,,,,,
451,17653,17695,,,,,,3.789818,-1.972202,16.129,186.74,-271.77,0,11.59,10.552,M3.0V,1.511,8.815285,13.495454,-0.555074,-1.26E-05,7.37E-06,-2.12E-05,0.992172044,-0.034421419,9.05E-07,-1.32E-06,,,Eri,1,17653,,0.005238416,,11.692,11.492,,,,,,,,,,,
3250,118052,,,,GJ 1033,,,1.223676,-22.9015,16.129,89.94,3.14,0,14.16,13.122,M3,1.58,14.101712,4.678785,-6.276568,-2.12E-06,6.70E-06,2.30E-07,0.320357662,-0.399706576,4.36E-07,1.52E-08,GJ 1033,,,1,118052,,0.000491134,,,,,,,,,,,,,,
3251,118584,,,,GJ 1118,,,8.984767,-31.220976,16.129,687.09,-726.57,50,13.8,12.762,M4,1.64,-9.716045,9.793298,-8.361633,-4.82E-05,-2.77E-05,-7.51E-05,2.352206583,-0.544908833,3.33E-06,-3.52E-06,GJ 1118,,,1,118584,,0.000684227,,,,,,,,,,,,,,
3253,119211,,,,GJ 1226,,,18.349223,-1.054264,16.129,-505.36,-954.47,50,12.71,11.672,M3,1.66,1.472545,-16.061465,-0.29681,-3.48E-05,-5.32E-05,-7.56E-05,4.803815247,-0.018400385,-2.45E-06,-4.63E-06,GJ 1226,,,1,119211,,0.001867239,,,,,,,,,,,,,,
3255,118002,,,,GJ 2010,,,0.623595,-20.896011,16.129,-233.96,-203.38,0,14.53,13.492,DA3,0.45,14.867836,2.449012,-5.752778,-2.62E-06,-1.90E-05,-1.49E-05,0.163256782,-0.364704184,-1.13E-06,-9.86E-07,GJ 2010,,,1,118002,,0.000349301,,,,,,,,,,,,,,
3256,118176,,,,NN 3183,,,2.863772,29.488897,16.129,-73.21,-164.44,0,13.96,12.922,M4V,,10.275121,9.56711,7.939579,8.53E-06,1.20E-07,-1.12E-05,0.749733865,0.514678341,-3.55E-07,-7.97E-07,GJ 3183,,,1,118176,,0.000590473,,,,,,,,,,,,,,
3257,118219,,,,NN 3223,,,3.419638,-1.818863,16.129,251.09,-864.26,0,16.12,15.082,DZ9,0.8,10.08065,12.580265,-0.511931,-1.67E-05,1.06E-05,-6.75E-05,0.895259197,-0.031745148,1.22E-06,-4.19E-06,GJ 3223,,,1,118219,,8.08E-05,,,,,,,,,,,,,,
3258,118490,,,,NN 3455,,,7.602564,-51.913906,16.129,400.2,460.37,0,12.45,11.412,M3,,-4.053308,9.085985,-12.69489,-4.01E-05,1.31E-05,2.22E-05,1.99034661,-0.90606858,1.94E-06,2.23E-06,GJ 3455,,,1,118490,,0.002372466,,,,,,,,,,,,,,
3259,118605,,,,NN 3540,,,9.200896,27.907734,16.129,-193.7,-439.18,0,12.29,11.252,M3.0V,1.56,-10.594398,9.534857,7.549164,-1.82E-06,2.20E-05,-3.03E-05,2.408789004,0.487081847,-9.39E-07,-2.13E-06,GJ 3540,,,1,118605,,0.00274916,,,,,,,,,,,,,,
3260,118655,,,,NN 3573,,,9.940805,22.650833,16.129,-458.53,-265.8,0,14.2,13.162,M4V,,-12.773795,7.641466,6.211508,1.15E-05,3.49E-05,-1.92E-05,2.602496536,0.395331614,-2.22E-06,-1.29E-06,GJ 3573,,,1,118655,,0.000473369,,,,,,,,,,,,,,
3261,118795,,,,NN 3702,,,12.066222,-33.024043,16.129,-756.63,71.52,0,14,12.962,M4.5,,-13.521206,-0.233962,-8.790159,-4.08E-06,5.91E-05,4.69E-06,3.158929567,-0.576378277,-3.67E-06,3.47E-07,GJ 3702,,,1,118795,,0.000569115,,,,,,,,,,,,,,
3262,118867,,,,NN 3764,,,13.155285,-40.151517,16.129,726.07,-942.82,0,12.86,11.822,M4,1.6,-11.768287,-3.672709,-10.400159,6.23E-05,-4.01E-05,-5.64E-05,3.444045478,-0.700776172,3.52E-06,-4.57E-06,GJ 3764,,,1,118867,,0.001626298,,,,,,,,,,,,,,
3263,118930,,,,NN 3813,,,13.876868,14.418929,16.129,48.49,-306.18,0,11.63,10.592,M2V,1.5,-13.772845,-7.370406,4.01628,-3.47E-06,-6.16E-06,-2.32E-05,3.63295543,0.25165778,2.35E-07,-1.48E-06,GJ 3813,,Boo,1,118930,,0.005048938,,,,,,,,,,,,,,
3264,119000,,,,NN 3884,,,15.019706,7.162501,16.129,-491.79,-90.26,0,12.73,11.692,M3.5V,1.49,-11.257409,-11.374144,2.011027,-2.80E-05,2.64E-05,-7.00E-06,3.932149755,0.125009234,-2.38E-06,-4.38E-07,GJ 3884,,,1,119000,,0.001833158,,,,,,,,,,,,,,
